Giant Tiff	Katy Perry - Never Really Over (Tiffany Alvord, Disha, Future Sunsets, & Cobus Cover)	Jr_3Ji26yoE
Bad Barbie	Good Guy - Billie Eillish (Bad Guy Parody) - Tiffany Alvord Cover	kFal2dd_BxY
Did you see the turtle! That was crazy!	Jonas Brothers - Cool (Acoustic Cover) Tiffany Alvord	rI2Ol5bGPnY
baby h	BLACKPINK - Kill This Love (English Cover) by Tiffany Alvord & Jason Chen	09UCxQ1vW3k
You're crazy	Ava Max - Sweet but Psycho (Acoustic Cover)	dDXzbLll8pU
I LOVE YOU	No One Can Love Me - Tiffany Alvord (Official Music Video)	JY1j3uGCSJI
Santa Says Hi	WHAT I GOT FOR CHRISTMAS 2018! + HUGE GIVEAWAY	jFYhRHPH7Qs
I'll be your friend	I'll Never Be Your Girlfriend - Tiffany Alvord (Official Music Video)	XcT3M4zte-0
Frosty	Silent Night | Tiffany Alvord l #LightTheWorld	NvIpSxRCitk
Harper Hacks	EXPOSED - Never Before Seen | BLOOPERS | Tiffany Alvord & Gabe Conte	1GR6OTEgpbc
Barbie	I'll Never Be Your Girlfriend - Tiffany Alvord (Official Lyric Video) #INBYG	Wgt5jWa6ZuA
squirrel	Marshmello ft. Bastille - Happier (Tiffany Alvord Cover)	CllitsZQCo0
Mmmmm	Recreating My New Song with the World’s Most Unique Instruments!	EtCH-vtSXNQ
boo	Paranoid Freak - (Tiffany Alvord Original) LIVE - Acoustic	wlnBK3lap-k
LIVING	THE TRUTH ABOUT LYING...	GUFgCWQscHA
she's back	Camila Cabello - Consequences  (Tiffany Alvord Cover)	GnzJNmOK9OQ
butterfly	Post Malone – Better Now (Tiffany Alvord Cover)	5x5QDXX28eg
it'll be okay	Shawn Mendes - In My Blood (Tiffany Alvord Cover)	kySRJcfgI-M
bobble	DJ Khaled - No Brainer ft. Justin Bieber, Chance the Rapper, Quavo (Tiffany & Jason Cover)	fZhqQzfANCI
shooting star	twenty one pilots - Jumpsuit (Tiffany Alvord & Mario Jose Cover)	rcDBd4XlH1Y
baby spice	BLACKPINK - DDU-DU DDU-DU (English/Korean) | Tiffany Alvord x Jason Chen Cover	bbNaGZOYH2Y
i get it	No Tears Left To Cry - Ariana Grande (Tiffany Alvord & Tatum Lynn Cover)	wJOCKSYKrYc
boba	Maroon 5 - Girls Like You ft. Cardi B (Tiffany Alvord & Jason Chen Cover)	g3MVyHcj9dE
bumble bee	Bebe Rexha - Meant to Be (feat. Florida Georgia Line) | Tiffany Alvord & Chester See	ME1vsL7bdgU
blue bird	Blackbird - The Beatles (Tiffany Alvord Cover)	ta-3cJbVyLg
LOVE ME	WHY - Sabrina Carpenter (Tiffany Alvord Cover)	zyeqvipeTl0
bloop	DELICATE - Taylor Swift (Tiffany Alvord Cover)	-e4U_zv7qds
superman	The Middle - Zedd, Marren Morris, Grey (Tiffany Alvord Cover)	HjpELpIeQ3Q
sushi	Feel It Still - Portugal The Man (Tiffany Alvord Cover)	784WHlx98v0
I love medicine	Medicine - Kelly Clarkson (Tiffany Alvord Cover)	DBjM7BrYRfI
Happy New York	I Like Me Better - Lauv (Tiffany Alvord & Future Sunsets Cover) ft. Jordan Martone	XqM41LykH0M
elf	Deck The Halls - (Tiffany Alvord, Tanner Patrick, & Jamie Grace Cover) Simon Sings	m3pJeljl4RQ
Zac & Tiffany	Singing \"This Is Me\" for Zac Efron, Hugh Jackman & Zendaya (from The Greatest Showman Movie)	oj-TmEwAupU
barbie	New Years Day - Taylor Swift (Tiffany Alvord Cover) | New Taylor Swift Song	LmB1JS8ESWU
Snowman	Wolves - Selena Gomez (Tiffany Alvord Cover)	We7Ml4jeYVM
LOVE	Logic - 1-800-273-8255 ft. Alessia Cara, Khalid (Tiffany Alvord Cover)	2pyyta0oj_I
squirrel	MOVING TO NEW YORK!?! | Tiffany Alvord | (Today At Apple)	qckIkAXMdWY
Tiffanugget	KARMA - Tiffany Alvord (Official Music Video)	HyBx6H5Q6mA
Boo	Tiffany Alvord x Tyler Ward - Without Warning (School Spirits Film)	hflaM5ZxFbA
Skip It	90's Pop MASHUP! (Tiffany Alvord & Future Sunsets Cover)	kihnB6M4Hzs
I know who did it	Guilty Party - WHAT REALLY HAPPENED -- BTS | Tiffany	m8kBHi7P24I
Spiderman sent me	Friends - Justin Bieber & BloodPop (Tiffany Alvord Cover)	Oslbq9ESVi4
FROSTY	Julia Michaels - Worst In Me (Tiffany Alvord & Will Champlin Cover)	w3Z9rb2-1y8
SNAKE	Taylor Swift - Look What You Made Me Do (Tiffany Alvord & Future Sunsets Cover) | New Taylor Swift	blUI3GIHhWg
TIFFANYS IN A TV SHOW	My secrets are out.. WHO DID IT!?!	gdLHbOJxxjk
friendzoned	Dua Lipa - New Rules (Tiffany Alvord Cover)	iiL8thzov-E
Banana	Bibia Be Ye Ye - Ed Sheeran (Tiffany Alvord Cover)	Gs6FdmmAUfQ
shark	Bad Liar - Selena Gomez (Joey Stux Remix) (Tiffany Alvord Cover)	tlKrItRVIEY
Burrito	Fetish - Selena Gomez ft. Gucci Mane (Tiffany Alvord & Chris Collins Cover)	EHIoamB-8eA
T-dawg	I'm the One - DJ Khaled ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne	XR81a-rH7bI
kiss the toad	Bad Liar - Selena Gomez (Tiffany Alvord Cover)	ZkLQNWXVRZs
I beliebe in you!	David Guetta ft Justin Bieber - 2U (Tiffany Alvord Cover)	crRnnV71Rpw
SNAKE	Malibu - Miley Cyrus (Tiffany Alvord Cover) | New Miley Cyrus Song	4ZDgkWYVq_4
french toast	Symphony - Clean Bandit ft. Zara Larsson (Tiffany Alvord Piano Cover)	DSGjjnvZaJQ
ice ice baby	Attention - Charlie Puth (Live Acoustic Cover) Tiffany Alvord	a8g27ksUbb0
Congratulations!	There's Nothing Holdin' Me Back - Shawn Mendes (Tiffany Alvord & Jervy Hou Cover)	ou4GMRCu0rQ
